date,date,sales
1992-01-01,1992-01-01,1873
1992-02-01,1992-02-01,1991
1992-03-01,1992-03-01,2403
1992-04-01,1992-04-01,2665
1992-05-01,1992-05-01,2752
1992-06-01,1992-06-01,2424
1992-07-01,1992-07-01,2373
1992-08-01,1992-08-01,2657
1992-09-01,1992-09-01,2560
1992-10-01,1992-10-01,2755
1992-11-01,1992-11-01,2946
1992-12-01,1992-12-01,4416
1993-01-01,1993-01-01,2123
1993-02-01,1993-02-01,2005
1993-03-01,1993-03-01,2442
1993-04-01,1993-04-01,2762
1993-05-01,1993-05-01,2873
1993-06-01,1993-06-01,2552
1993-07-01,1993-07-01,2539
1993-08-01,1993-08-01,2626
1993-09-01,1993-09-01,2622
1993-10-01,1993-10-01,2713
1993-11-01,1993-11-01,2923
1993-12-01,1993-12-01,4170
1994-01-01,1994-01-01,1786
1994-02-01,1994-02-01,1970
1994-03-01,1994-03-01,2560
1994-04-01,1994-04-01,2558
1994-05-01,1994-05-01,2552
1994-06-01,1994-06-01,2447
1994-07-01,1994-07-01,2248
1994-08-01,1994-08-01,2538
1994-09-01,1994-09-01,2418
1994-10-01,1994-10-01,2572
1994-11-01,1994-11-01,2798
1994-12-01,1994-12-01,4138
1995-01-01,1995-01-01,1723
1995-02-01,1995-02-01,1810
1995-03-01,1995-03-01,2393
1995-04-01,1995-04-01,2438
1995-05-01,1995-05-01,2535
1995-06-01,1995-06-01,2357
1995-07-01,1995-07-01,2172
1995-08-01,1995-08-01,2326
1995-09-01,1995-09-01,2370
1995-10-01,1995-10-01,2312
1995-11-01,1995-11-01,2567
1995-12-01,1995-12-01,3693
1996-01-01,1996-01-01,1565
1996-02-01,1996-02-01,1834
1996-03-01,1996-03-01,2193
1996-04-01,1996-04-01,2346
1996-05-01,1996-05-01,2552
1996-06-01,1996-06-01,2375
1996-07-01,1996-07-01,2072
1996-08-01,1996-08-01,2353
1996-09-01,1996-09-01,2276
1996-10-01,1996-10-01,2413
1996-11-01,1996-11-01,2594
1996-12-01,1996-12-01,3665
1997-01-01,1997-01-01,1699
1997-02-01,1997-02-01,1813
1997-03-01,1997-03-01,2353
1997-04-01,1997-04-01,2227
1997-05-01,1997-05-01,2429
1997-06-01,1997-06-01,2199
1997-07-01,1997-07-01,2103
1997-08-01,1997-08-01,2334
1997-09-01,1997-09-01,2265
1997-10-01,1997-10-01,2358
1997-11-01,1997-11-01,2486
1997-12-01,1997-12-01,3556
1998-01-01,1998-01-01,1722
1998-02-01,1998-02-01,1767
1998-03-01,1998-03-01,2194
1998-04-01,1998-04-01,2507
1998-05-01,1998-05-01,2512
1998-06-01,1998-06-01,2254
1998-07-01,1998-07-01,2222
1998-08-01,1998-08-01,2327
1998-09-01,1998-09-01,2244
1998-10-01,1998-10-01,2422
1998-11-01,1998-11-01,2531
1998-12-01,1998-12-01,3630
1999-01-01,1999-01-01,1745
1999-02-01,1999-02-01,1883
1999-03-01,1999-03-01,2507
1999-04-01,1999-04-01,2616
1999-05-01,1999-05-01,2687
1999-06-01,1999-06-01,2405
1999-07-01,1999-07-01,2303
